user_id,variant,event_name
100001,A,product_view
100002,B,product_view
100003,A,product_view
100003,A,add_to_cart
100003,A,checkout
100003,A,purchase
100004,A,product_view
100004,A,add_to_cart
100005,A,product_view
100005,A,add_to_cart
100006,A,click
100006,A,product_view
100007,B,product_view
100007,B,add_to_cart
100007,B,checkout
100007,B,purchase
100008,B,click
100009,A,product_view
100010,A,product_view
100011,A,product_view
100012,B,product_view
100013,B,product_view
100013,B,add_to_cart
100013,B,checkout
100013,B,purchase
100015,B,product_view
100016,A,product_view
100017,B,product_view
100018,B,product_view
100019,A,product_view
100020,B,product_view
100020,B,add_to_cart
100021,A,product_view
100021,A,add_to_cart
100021,A,checkout
100022,B,product_view
100023,B,product_view
100024,B,product_view
100025,B,product_view
100025,B,add_to_cart
100025,B,checkout
100025,B,purchase
100025,B,repeat_purchase
100026,B,product_view
100028,A,click
100029,A,product_view
100029,A,add_to_cart
100030,B,product_view
100031,A,product_view
100031,A,add_to_cart
100031,A,checkout
100031,A,purchase
100033,B,product_view
100034,A,product_view
100035,A,product_view
100036,A,product_view
100037,A,product_view
100040,B,product_view
100041,A,product_view
100042,B,product_view
100044,A,product_view
100045,B,product_view
100046,A,click
100046,A,product_view
100047,A,product_view
100048,B,product_view
100049,A,product_view
100053,A,product_view
100054,B,product_view
100055,B,product_view
100055,B,add_to_cart
100056,A,click
100056,A,product_view
100057,B,product_view
100058,B,product_view
100058,B,add_to_cart
100058,B,checkout
100059,A,product_view
100060,A,product_view
100061,A,product_view
100061,A,add_to_cart
100062,A,product_view
100063,A,product_view
100064,B,product_view
100065,B,product_view
100065,B,add_to_cart
100065,B,checkout
100066,B,product_view
100067,B,click
100067,B,product_view
100068,B,product_view
100069,A,click
100072,B,click
100073,A,product_view
100073,A,add_to_cart
100073,A,checkout
100076,A,product_view
100078,B,product_view
100079,A,product_view
100081,B,product_view
100082,A,click
100082,A,product_view
100082,A,add_to_cart
100082,A,checkout
100082,A,purchase
100083,B,product_view
100084,A,product_view
100087,A,product_view
100088,B,click
100089,A,product_view
100091,A,product_view
100092,A,product_view
100092,A,add_to_cart
100093,B,product_view
100093,B,add_to_cart
100093,B,checkout
100093,B,purchase
100094,B,click
100094,B,product_view
100095,A,product_view
100095,A,add_to_cart
100095,A,checkout
100095,A,purchase
100096,B,product_view
100097,A,product_view
100098,A,product_view
100099,B,product_view
100100,A,product_view
100101,A,product_view
100102,A,product_view
100102,A,add_to_cart
100103,A,product_view
100104,B,product_view
100105,A,click
100105,A,product_view
100106,B,product_view
100107,A,click
100108,A,product_view
100109,B,click
100109,B,product_view
100109,B,add_to_cart
100109,B,checkout
100111,A,product_view
100112,B,product_view
100113,A,product_view
100114,B,product_view
100115,B,product_view
100116,B,product_view
100117,A,click
100119,B,product_view
100119,B,add_to_cart
100119,B,checkout
100119,B,purchase
100120,B,product_view
100120,B,add_to_cart
100121,A,product_view
100122,A,product_view
100123,A,click
100124,B,product_view
100124,B,add_to_cart
100124,B,checkout
100124,B,purchase
100125,B,click
100125,B,product_view
100125,B,add_to_cart
100125,B,checkout
100125,B,purchase
100125,B,repeat_purchase
100126,B,product_view
100127,A,product_view
100128,A,product_view
100128,A,add_to_cart
100128,A,checkout
100128,A,purchase
100128,A,repeat_purchase
100129,A,product_view
100130,A,product_view
100131,A,product_view
100133,A,product_view
100134,A,product_view
100135,B,product_view
100136,A,product_view
100138,A,product_view
100139,A,product_view
100140,A,click
100140,A,product_view
100141,B,product_view
100143,A,product_view
100144,B,click
100144,B,product_view
100144,B,add_to_cart
100144,B,checkout
100144,B,purchase
100144,B,repeat_purchase
100145,B,click
100145,B,product_view
100146,A,product_view
100147,A,product_view
100148,A,product_view
100149,A,product_view
100150,B,product_view
100152,B,product_view
100153,A,product_view
100153,A,add_to_cart
100153,A,checkout
100154,A,product_view
100155,B,product_view
100156,A,product_view
100157,B,product_view
100158,A,click
100158,A,product_view
100159,A,product_view
100160,B,product_view
100160,B,add_to_cart
100160,B,checkout
100161,B,product_view
100163,B,product_view
100163,B,add_to_cart
100163,B,checkout
100164,A,product_view
100165,B,click
100166,B,product_view
100166,B,add_to_cart
100166,B,checkout
100167,A,product_view
100169,A,product_view
100170,A,product_view
100171,A,product_view
100171,A,add_to_cart
100171,A,checkout
100171,A,purchase
100172,A,product_view
100173,A,product_view
100174,B,product_view
100175,B,product_view
100176,B,product_view
100177,B,product_view
100178,A,click
100178,A,product_view
100178,A,add_to_cart
100178,A,checkout
100178,A,purchase
100180,A,product_view
100181,A,product_view
100182,A,product_view
100182,A,add_to_cart
100183,B,click
100183,B,product_view
100184,B,product_view
100185,B,product_view
100186,A,product_view
100187,B,product_view
100189,B,product_view
100190,A,click
100190,A,product_view
100190,A,add_to_cart
100190,A,checkout
100190,A,purchase
100191,A,product_view
100192,A,product_view
100193,B,product_view
100197,A,product_view
100197,A,add_to_cart
100197,A,checkout
100197,A,purchase
100198,B,product_view
100199,A,product_view
100201,B,product_view
100202,B,product_view
100203,B,product_view
100204,B,click
100204,B,product_view
100206,A,click
100206,A,product_view
100207,A,product_view
100208,B,product_view
100209,B,product_view
100209,B,add_to_cart
100210,B,product_view
100210,B,add_to_cart
100211,B,product_view
100212,B,product_view
100213,B,product_view
100215,B,product_view
100216,A,product_view
100217,A,product_view
100217,A,add_to_cart
100218,B,product_view
100219,A,product_view
100220,B,product_view
100221,A,product_view
100222,B,product_view
100223,A,click
100223,A,product_view
100224,A,click
100224,A,product_view
100224,A,add_to_cart
100225,B,product_view
100226,B,product_view
100227,A,product_view
100228,A,product_view
100230,B,product_view
100230,B,add_to_cart
100232,B,product_view
100234,A,product_view
100235,A,product_view
100236,B,product_view
100237,B,product_view
100237,B,add_to_cart
100239,A,product_view
100240,B,product_view
100241,A,product_view
100242,A,product_view
100243,B,product_view
100245,A,product_view
100246,B,product_view
100247,B,product_view
100249,B,product_view
100250,B,product_view
100250,B,add_to_cart
100250,B,checkout
100252,B,product_view
100253,A,product_view
100253,A,add_to_cart
100254,A,click
100254,A,product_view
100255,A,product_view
100258,A,product_view
100260,B,product_view
100262,A,product_view
100263,A,product_view
100264,B,product_view
100265,B,product_view
100266,A,product_view
100267,A,product_view
100268,A,product_view
100269,A,click
100269,A,product_view
100270,B,product_view
100271,B,click
100271,B,product_view
100272,B,product_view
100274,A,product_view
100277,A,product_view
100278,B,product_view
100279,B,product_view
100281,A,product_view
100284,B,product_view
100285,B,product_view
100286,A,product_view
100287,A,product_view
100289,A,product_view
100290,B,product_view
100291,B,product_view
100293,B,product_view
100293,B,add_to_cart
100295,B,product_view
100296,B,product_view
100296,B,add_to_cart
100296,B,checkout
100296,B,purchase
100298,A,product_view
100299,A,product_view
100300,B,product_view
100301,B,product_view
100302,B,product_view
100303,A,product_view
100304,B,product_view
100304,B,add_to_cart
100305,A,click
100305,A,product_view
100306,B,product_view
100307,B,product_view
100308,A,product_view
100310,B,product_view
100310,B,add_to_cart
100310,B,checkout
100310,B,purchase
100310,B,repeat_purchase
100311,A,click
100311,A,product_view
100312,A,click
100312,A,product_view
100317,B,product_view
100319,B,product_view
100323,A,product_view
100325,A,product_view
100326,B,product_view
100327,B,product_view
100327,B,add_to_cart
100328,A,product_view
100328,A,add_to_cart
100328,A,checkout
100328,A,purchase
100329,B,product_view
100329,B,add_to_cart
100330,A,product_view
100331,A,product_view
100332,A,product_view
100332,A,add_to_cart
100332,A,checkout
100333,B,product_view
100334,A,product_view
100335,B,product_view
100335,B,add_to_cart
100336,B,product_view
100336,B,add_to_cart
100338,B,product_view
100338,B,add_to_cart
100339,B,click
100339,B,product_view
100340,B,click
100340,B,product_view
100341,B,product_view
100342,A,product_view
100343,B,product_view
100344,A,product_view
100345,B,product_view
100346,A,product_view
100347,B,product_view
100349,B,product_view
100350,B,product_view
100351,A,product_view
100352,B,product_view
100353,A,product_view
100354,B,click
100354,B,product_view
100355,B,click
100355,B,product_view
100356,A,product_view
100356,A,add_to_cart
100356,A,checkout
100356,A,purchase
100357,B,product_view
100358,A,product_view
100359,A,click
100359,A,product_view
100361,B,product_view
100361,B,add_to_cart
100361,B,checkout
100361,B,purchase
100362,B,product_view
100363,B,product_view
100363,B,add_to_cart
100363,B,checkout
100363,B,purchase
100363,B,repeat_purchase
100364,A,product_view
100364,A,add_to_cart
100364,A,checkout
100364,A,purchase
100365,A,product_view
100366,A,product_view
100366,A,add_to_cart
100367,B,product_view
100368,B,click
100368,B,product_view
100370,A,product_view
100372,A,product_view
100373,B,product_view
100374,B,product_view
100375,B,product_view
100377,A,product_view
100378,A,product_view
100379,B,product_view
100381,B,product_view
100381,B,add_to_cart
100381,B,checkout
100384,A,product_view
100387,B,product_view
100388,B,product_view
100389,A,product_view
100390,B,product_view
100390,B,add_to_cart
100390,B,checkout
100390,B,purchase
100391,A,product_view
100392,A,product_view
100393,B,product_view
100394,A,product_view
100395,A,product_view
100396,A,click
100396,A,product_view
100397,B,product_view
100397,B,add_to_cart
100397,B,checkout
100398,A,product_view
100399,A,click
100399,A,product_view
100399,A,add_to_cart
100399,A,checkout
100399,A,purchase
100400,A,product_view
100401,B,product_view
100403,B,product_view
100404,B,product_view
100405,B,product_view
100406,A,product_view
100406,A,add_to_cart
100406,A,checkout
100406,A,purchase
100407,A,product_view
100407,A,add_to_cart
100407,A,checkout
100407,A,purchase
100408,B,product_view
100409,A,product_view
100410,A,click
100410,A,product_view
100410,A,add_to_cart
100410,A,checkout
100410,A,purchase
100411,A,click
100411,A,product_view
100412,A,product_view
100413,B,product_view
100415,B,product_view
100417,B,product_view
100418,A,product_view
100419,B,product_view
100420,B,product_view
100421,B,product_view
100423,A,product_view
100424,A,product_view
100424,A,add_to_cart
100424,A,checkout
100425,A,product_view
100425,A,add_to_cart
100425,A,checkout
100425,A,purchase
100426,A,product_view
100427,A,product_view
100428,A,product_view
100429,B,product_view
100430,B,product_view
100431,B,product_view
100432,A,product_view
100433,B,product_view
100433,B,add_to_cart
100433,B,checkout
100433,B,purchase
100434,A,click
100434,A,product_view
100437,A,product_view
100437,A,add_to_cart
100438,B,click
100438,B,product_view
100439,B,product_view
100439,B,add_to_cart
100439,B,checkout
100439,B,purchase
100440,B,product_view
100441,A,product_view
100442,A,product_view
100442,A,add_to_cart
100442,A,checkout
100443,B,click
100443,B,product_view
100445,B,product_view
100447,B,product_view
100448,B,product_view
100449,A,product_view
100450,B,product_view
100451,A,click
100451,A,product_view
100452,B,product_view
100453,B,product_view
100454,B,product_view
100455,A,product_view
100456,A,product_view
100457,A,product_view
100458,B,product_view
100459,A,product_view
100460,B,product_view
100461,B,product_view
100461,B,add_to_cart
100461,B,checkout
100461,B,purchase
100463,B,product_view
100464,A,product_view
100465,B,product_view
100467,A,product_view
100468,A,product_view
100469,B,product_view
100470,B,product_view
100470,B,add_to_cart
100470,B,checkout
100472,A,product_view
100473,A,click
100473,A,product_view
100474,A,product_view
100474,A,add_to_cart
100474,A,checkout
100474,A,purchase
100475,B,product_view
100476,A,product_view
100479,A,click
100480,A,product_view
100482,A,product_view
100483,B,product_view
100483,B,add_to_cart
100483,B,checkout
100484,B,product_view
100485,A,product_view
100486,A,click
100488,B,product_view
100489,B,product_view
100489,B,add_to_cart
100490,B,product_view
100491,B,product_view
100491,B,add_to_cart
100491,B,checkout
100491,B,purchase
100492,B,product_view
100493,A,product_view
100495,B,product_view
100496,B,product_view
100497,A,product_view
100498,A,product_view
100501,A,product_view
100501,A,add_to_cart
100502,B,product_view
100503,B,product_view
100503,B,add_to_cart
100503,B,checkout
100503,B,purchase
100504,A,product_view
100505,B,product_view
100506,B,product_view
100507,A,product_view
100508,B,product_view
100509,A,product_view
100511,A,product_view
100512,B,product_view
100513,A,product_view
100514,A,product_view
100516,A,product_view
100516,A,add_to_cart
100517,A,product_view
100517,A,add_to_cart
100519,B,product_view
100519,B,add_to_cart
