user_id,variant,device,channel,customer_segment,ctr,product_view,add_to_cart,checkout,purchase,repeat_purchase,engaged,order_value,repeat_order_value,total_revenue
100001,A,Mobile,Organic,New,0,1,0,0,0,0,0,0.0,0.0,0.0
100002,B,Mobile,Direct,Returning,0,1,0,0,0,0,1,0.0,0.0,0.0
100003,A,Desktop,Email,New,0,1,1,1,1,0,0,2903.4657364582054,0.0,2903.4657364582054
100004,A,Desktop,Organic,New,0,1,1,0,0,0,0,0.0,0.0,0.0
100005,A,Mobile,Social,New,0,1,1,0,0,0,1,0.0,0.0,0.0
100006,A,Mobile,Email,Returning,1,1,0,0,0,0,0,0.0,0.0,0.0
100007,B,Mobile,Social,New,0,1,1,1,1,0,0,3526.3710493572353,0.0,3526.3710493572353
100008,B,Desktop,Email,New,1,0,0,0,0,0,0,0.0,0.0,0.0
100009,A,Desktop,Direct,New,0,1,0,0,0,0,0,0.0,0.0,0.0
100010,A,Mobile,Email,Returning,0,1,0,0,0,0,0,0.0,0.0,0.0
100011,A,Desktop,Organic,Returning,0,1,0,0,0,0,1,0.0,0.0,0.0
100012,B,Mobile,Paid Search,New,0,1,0,0,0,0,0,0.0,0.0,0.0
100013,B,Mobile,Social,New,0,1,1,1,1,0,0,2245.4877535791966,0.0,2245.4877535791966
100014,A,Mobile,Direct,New,0,0,0,0,0,0,0,0.0,0.0,0.0
100015,B,Mobile,Paid Search,New,0,1,0,0,0,0,0,0.0,0.0,0.0
100016,A,Mobile,Direct,Returning,0,1,0,0,0,0,0,0.0,0.0,0.0
100017,B,Mobile,Organic,New,0,1,0,0,0,0,1,0.0,0.0,0.0
100018,B,Mobile,Paid Search,Returning,0,1,0,0,0,0,1,0.0,0.0,0.0
100019,A,Mobile,Organic,New,0,1,0,0,0,0,1,0.0,0.0,0.0
100020,B,Mobile,Social,New,0,1,1,0,0,0,0,0.0,0.0,0.0
100021,A,Mobile,Email,New,0,1,1,1,0,0,0,0.0,0.0,0.0
100022,B,Mobile,Organic,New,0,1,0,0,0,0,0,0.0,0.0,0.0
100023,B,Mobile,Social,Returning,0,1,0,0,0,0,0,0.0,0.0,0.0
100024,B,Mobile,Social,New,0,1,0,0,0,0,1,0.0,0.0,0.0
100025,B,Desktop,Direct,New,0,1,1,1,1,1,0,2807.2377383562584,3334.217312068985,6141.455050425244
100026,B,Mobile,Organic,New,0,1,0,0,0,0,0,0.0,0.0,0.0
100027,A,Desktop,Social,Returning,0,0,0,0,0,0,0,0.0,0.0,0.0
